,0
0,85.11245156249998
1,85.05971342848619
2,85.01659103988334
3,84.97346649486151
4,84.93033977423644
5,84.8872108588239
6,84.84407972943963
7,84.80094636689937
8,84.75781075201888
9,84.7146728656139
10,84.6715326885002
11,84.62839020149352
12,84.5852453854096
13,84.54209822106421
14,84.49894868927309
15,84.45579677085198
16,84.41264244661664
17,84.36948569738283
18,84.32632650396629
19,84.28316484718276
20,84.240000707848
21,84.19683406677777
22,84.1536649047878
23,84.11049320269386
24,84.06731894131168
25,84.02414210145703
26,83.98096266394565
27,83.93778060959329
28,83.8945959192157
29,83.85140857362863
30,83.80821855364785
31,83.76502584008907
32,83.72183041376807
33,83.67863225550059
34,83.6354313461024
35,83.5922276663892
36,83.5490211971768
37,83.50581191928092
38,83.4625998135173
39,83.41938486070171
40,83.3761670416499
41,83.3329463371776
42,83.28972272810059
43,83.24649619523458
44,83.20326671939537
45,83.16003428139868
46,83.11679886206025
47,83.07356044219586
48,83.03031900262124
49,82.98707452415213
50,82.94382698760431
51,82.90057637379353
52,82.8573226635355
53,82.81406583764601
54,82.77080587694078
55,82.7275427622356
56,82.68427647434618
57,82.64100699408829
58,82.59773430227767
59,82.55445837973008
60,82.51117920726128
61,82.46789676568699
62,82.42461103582298
63,82.381321998485
64,82.3380296344888
65,82.29473392465013
66,82.25143484978473
67,82.20813239070836
68,82.16482652823677
69,82.1215172431857
70,82.07820451637093
71,82.03488832860818
72,81.9915686607132
73,81.94824549350174
74,81.90491880778957
75,81.86158858439244
76,81.81825480412607
77,81.77491744780625
78,81.73157649624869
79,81.68823193026917
80,81.64488373068343
81,81.60153187830723
82,81.55817635395628
83,81.51481713844639
84,81.47145421259327
85,81.42808755721268
86,81.38471715312038
87,81.3413429811321
88,81.29796502206361
89,81.25458325673064
90,81.21119766594896
91,81.1678082305343
92,81.12441493130244
93,81.0810177490691
94,81.03761666465005
95,80.99421165886103
96,80.95080271251778
97,80.90738980643609
98,80.86397292143165
99,80.82055203832027
100,80.77712713791766
101,80.73369820103959
102,80.6902652085018
103,80.64682814112004
104,80.60338697971007
105,80.55994170508762
106,80.51649229806847
107,80.47303873946836
108,80.42958101010302
109,80.38611909078823
110,80.34265296233971
111,80.29918260557322
112,80.25570800130453
113,80.21222913034937
114,80.1687459735235
115,80.12525851164266
116,80.0817667255226
117,80.03827059597909
118,79.99477010382786
119,79.95126522988465
120,79.90775595496525
121,79.86424225988539
122,79.8207241254608
123,79.77720153250725
124,79.7336744618405
125,79.69014289427626
126,79.64660681063033
127,79.60306619171843
128,79.55952101835632
129,79.51597127135975
130,79.47241693154446
131,79.42885797972622
132,79.38529439672075
133,79.34172616334384
134,79.29815326041121
135,79.25457566873861
136,79.21099336914182
137,79.16740634243655
138,79.12381456943858
139,79.08021803096364
140,79.03661670782749
141,78.99301058084589
142,78.94939963083458
143,78.9057838386093
144,78.86216318498582
145,78.81853765077987
146,78.77490721680722
147,78.7312718638836
148,78.68763157282478
149,78.6439863244465
150,78.60033609956452
151,78.55668087899457
152,78.51302064355241
153,78.4693553740538
154,78.42568505131447
155,78.3820096561502
156,78.3383291693767
157,78.29464357180977
158,78.25095284426511
159,78.20725696755851
160,78.16355592250568
161,78.11984968992242
162,78.07613825062444
163,78.0324215854275
164,77.98869967514734
165,77.94497250059975
166,77.90124004260045
167,77.85750228196518
168,77.81375919950972
169,77.77001077604979
170,77.72625699240116
171,77.68249782937959
172,77.63873326780079
173,77.59496328848054
174,77.55118787223459
175,77.5074069998787
176,77.46362065222858
177,77.41982881010003
178,77.37603145430876
179,77.33222856567053
180,77.28842012500111
181,77.24460611311623
182,77.20078651083165
183,77.15696129896313
184,77.11313045832638
185,77.06929396973719
186,77.02545181401129
187,76.98160397196445
188,76.9377504244124
189,76.8938911521709
190,76.85002613605569
191,76.80615535688254
192,76.76227879546718
193,76.71839643262537
194,76.67450824917286
195,76.6306142259254
196,76.58671434369873
197,76.54280858330861
198,76.4988969255708
199,76.45497935130103
200,76.41105584131506
201,76.36712637642864
202,76.32319093745753
203,76.27924950521746
204,76.23530206052419
205,76.19134858419348
206,76.14738905704107
207,76.10342345988269
208,76.05945177353412
209,76.01547397881112
210,75.9714900565294
211,75.92749998750473
212,75.88350375255287
213,75.83950133248956
214,75.79549270813055
215,75.7514778602916
216,75.70745676978844
217,75.66342941743684
218,75.61939578405254
219,75.57535585045129
220,75.53130959744884
221,75.48725700586095
222,75.44319805650336
223,75.39913273019182
224,75.3550610077421
225,75.3109828699699
226,75.26689829769103
227,75.22280727172121
228,75.17870977287619
229,75.13460578197173
230,75.09049527982357
231,75.04637824724746
232,75.00225466505916
233,74.95812451407441
234,74.91398777510898
235,74.86984442897858
236,74.82569445649901
237,74.78153783848597
238,74.73737455575525
239,74.69320458912259
240,74.64902791940374
241,74.60484452741443
242,74.56065439397042
243,74.5164574998875
244,74.47225382598135
245,74.42804335306778
246,74.38382606196251
247,74.33960193348129
248,74.29537094843988
249,74.25113308765404
250,74.2068883319395
251,74.162636662112
252,74.11837805898733
253,74.07411250338122
254,74.0298399761094
255,73.98556045798765
256,73.94127392983171
257,73.89698037245732
258,73.85267976668025
259,73.80837209331624
260,73.76405733318103
261,73.71973546709037
262,73.67540647586003
263,73.63107034030575
264,73.58672704124328
265,73.54237655948837
266,73.49801887585677
267,73.45365397116423
268,73.4092818262265
269,73.36490242185933
270,73.32051573887847
271,73.27612175809968
272,73.23172046033869
273,73.18731182641126
274,73.14289583713315
275,73.0984724733201
276,73.05404171578786
277,73.00960354535218
278,72.96515794282881
