,0
0,75.91267526415093
1,75.89180752830188
2,75.87273473584906
3,75.52655132692306
4,75.50379355769232
5,75.48207994230769
6,75.65480347058825
7,75.62696590196079
8,75.59874078431373
9,75.173117
10,75.14324424
11,74.87495320408163
12,74.57142064
13,74.54416332000001
14,74.51953298
15,74.63981277551021
16,74.93394854166667
17,74.91423075
18,74.89418795833333
19,75.19675068085107
20,75.17849129787233
21,75.16488965957447
22,75.14985478723405
23,75.13450714893618
24,74.21990241666667
25,74.37623806382979
26,74.6728678478261
27,74.33058087234042
28,74.43617975555557
29,74.41052224444444
30,74.38404215555556
31,74.14489545454545
32,74.31298313333335
33,74.28576622222222
34,73.85434528571429
35,73.82917880952381
36,73.80060102380952
37,73.96915179999999
38,73.94331574999998
39,73.91890364999999
40,74.18160733333333
41,74.06467627027027
42,74.04245991891891
43,74.019599
44,73.9984242972973
45,73.13510821052633
46,73.10547650000001
47,73.52467410810812
48,72.82752402777777
49,73.45365697297298
50,72.6538905945946
51,72.62025743243244
52,71.5293851081081
53,71.49745783783786
54,71.46597805405405
55,71.43463548648647
56,71.4031424054054
57,71.37278091891892
58,71.36998422222223
59,71.34164925
60,71.30861583333336
61,71.27052644444444
62,70.53992059999999
63,70.50138539999999
64,70.46428982857144
65,70.43177742857144
66,69.94377444117647
67,69.01763257575759
68,68.99345745454545
69,68.54064753124999
70,68.5096225625
71,67.62606767712515
72,67.53880085030373
73,67.45184464039066
74,67.36519837556851
75,67.27886138401989
76,67.1928329939274
77,67.10711253347364
78,67.0216993308412
79,66.9365927142127
80,66.85179201177071
81,66.76729655169785
82,66.68310566217671
83,66.5992186713899
84,66.51563490752001
85,66.43235369874964
86,66.34937437326138
87,66.26669625923785
88,66.18431868486162
89,66.10224097831532
90,66.02046246778154
91,65.93898248144286
92,65.85780034748191
93,65.77691539408127
94,65.69632694942354
95,65.61603434169132
96,65.5360368990672
97,65.4563339497338
98,65.37692482187371
99,65.29780884366953
100,65.21898534330384
101,65.14045364895927
102,65.0622130888184
103,64.98426299106384
104,64.90660268387818
105,64.82923149544402
106,64.75214875394396
107,64.6753537875606
108,64.59884592447654
109,64.52262449287439
110,64.44668882093671
111,64.37103823684615
112,64.29567206878528
113,64.22058964493671
114,64.14579029348302
115,64.07127334260683
116,63.99703812049073
117,63.92308395531733
118,63.84941017526921
119,63.77601610852898
120,63.70290108327925
121,63.63006442770259
122,63.55750546998163
123,63.48522353829895
124,63.41321796083715
125,63.34148806577884
126,63.270033181306616
127,63.19885263560306
128,63.1279457568508
129,63.057311873232415
130,62.9869503129305
131,62.91686040412768
132,62.84704147500653
133,62.77749285374965
134,62.70821386853966
135,62.63920384755913
136,62.57046211899068
137,62.501988011016905
138,62.4337808518204
139,62.36583996958376
140,62.29816469248959
141,62.230754348720495
142,62.16360826645907
143,62.09672577388791
144,62.03010619918962
145,61.96374887054679
146,61.89765311614202
147,61.83181826415792
148,61.76624364277709
149,61.70092858018211
150,61.6358724045556
151,61.57107444408014
152,61.50653402693834
153,61.4422504813128
154,61.37822313538612
155,61.3144513173409
156,61.25093435535973
157,61.18767157762522
158,61.12466231231996
159,61.06190588762655
160,60.9994016317276
161,60.937148872805686
162,60.87514693904343
163,60.81339515862342
164,60.75189285972826
165,60.69063937054055
166,60.629634019242886
167,60.56887613401787
168,60.50836504304809
169,60.44810007451616
170,60.38808055660467
171,60.328305817496215
172,60.26877518537341
173,60.20948798841884
174,60.15044355481512
175,60.091641212744825
176,60.03308029039057
177,59.97476011593496
178,59.91668001756058
179,59.85883932345003
180,59.80123736178592
181,59.743873460750834
182,59.686746948527386
183,59.62985715329816
184,59.57320340324577
185,59.51678502655282
186,59.46060135140189
187,59.40465170597558
188,59.3489354184565
189,59.29345181702725
190,59.238200229870415
191,59.18317998516861
192,59.12839041110443
193,59.07383083586046
194,59.01950058761932
195,58.9653989945636
196,58.9115253848759
197,58.85787908673881
198,58.804459428334944
199,58.75126573784689
200,58.698297343457256
201,58.64555357334864
202,58.59303375570362
203,58.54073721870483
204,58.488663290534845
205,58.436811299376274
206,58.3851805734117
207,58.33377044082375
208,58.282580229795
209,58.23160926850806
210,58.18085688514552
211,58.13032240788999
212,58.08000516492406
213,58.02990448443035
214,57.98001969459142
215,57.9303501235899
216,57.88089509960838
217,57.83165395082946
218,57.78262600543575
219,57.733810591609824
220,57.6852070375343
221,57.63681467139177
222,57.58863282136484
223,57.540660815636095
224,57.49289798238815
225,57.44534364980359
226,57.39799714606504
227,57.350857799355055
228,57.30392493785628
229,57.25719788975128
230,57.21067598322268
231,57.16435854645306
232,57.11824490762503
233,57.07233439492117
234,57.02662633652411
235,56.98112006061643
236,56.93581489538073
237,56.89071016899961
238,56.84580520965567
239,56.80109934553151
240,56.75659190480974
241,56.712282215672936
242,56.66816960630371
243,56.62425340488466
244,56.58053293959839
245,56.537007538627485
246,56.49367653015456
247,56.45053924236221
248,56.40759500343302
249,56.364843141549606
250,56.32228298489457
251,56.27991386165049
252,56.23773509999998
253,56.19574602812564
254,56.15394597421007
255,56.11233426643586
256,56.07091023298561
257,56.029673202041934
258,55.98862250178741
259,55.94775746040465
260,55.907077406076255
261,55.866581666984814
262,55.826269571312935
263,55.786140447243206
264,55.74619362295824
265,55.70642842664063
266,55.66684418647297
267,55.62744023063787
268,55.58821588731792
269,55.54917048469572
270,55.51030335095388
271,55.47161381427498
272,55.43310120284164
273,55.39476484483644
274,55.35660406844199
275,55.31861820184088
276,55.28080657321573
277,55.24316851074912
278,55.20570334262364
279,55.16841039702192
280,55.131289002126536
281,55.09433848612009
282,55.05755817718519
283,55.02094740350442
284,54.9845054932604
285,54.94823177463571
286,54.91212557581296
287,54.876186224974745
288,54.84041305030367
289,54.80480537998231
290,54.7693625421933
291,54.73408386511922
292,54.69896867694267
293,54.664016305846246
294,54.62922608001255
295,54.59459732762419
296,54.56012937686376
297,54.52582155591385
298,54.49167319295706
299,54.457683616176
300,54.42385215375327
301,54.39017813387146
302,54.356660884713165
303,54.323299734461
304,54.29009401129755
305,54.25704304340542
306,54.2241461589672
307,54.1914026861655
308,54.15881195318293
309,54.12637328820207
310,54.09408601940552
311,54.06194947497588
312,54.02996298309576
313,53.99812587194776
314,53.966437469714464
315,53.93489710457847
316,53.90350410472239
317,53.87225779832882
318,53.84115751358036
319,53.81020257865959
320,53.77939232174914
321,53.7487260710316
322,53.71820315468955
323,53.687822900905616
324,53.65758463786237
325,53.62748769374244
326,53.5975313967284
327,53.56771507500286
328,53.53803805674841
329,53.50849967014767
330,53.47909924338322
331,53.44983610463768
332,53.42070958209361
333,53.391719003933645
334,53.36286369834038
335,53.3341429934964
336,53.30555621758431
337,53.27710269878671
338,53.2487817652862
339,53.220592745265385
340,53.19253496690685
341,53.1646077583932
342,53.13681044790704
343,53.10914236363096
344,53.08160283374757
345,53.054191186439446
346,53.02690674988922
347,52.999748852279474
348,52.9727168217928
349,52.94580998661182
350,52.91902767491909
351,52.89236921489727
352,52.86583393472891
353,52.83942116259663
354,52.81313022668301
355,52.78696045517067
356,52.76091117624222
357,52.73498171808023
358,52.7091714088673
359,52.68347957678605
360,52.657905550019066
361,52.63244865674896
362,52.60710822515831
363,52.58188358342973
364,52.55677405974581
365,52.531778982289154
366,52.50689767924237
367,52.48212947878804
368,52.45747370910878
369,52.432929698387184
370,52.40849677480584
371,52.38417426654735
372,52.35996150179433
373,52.33585780872936
374,52.31186251553505
375,52.28797495039399
376,52.26419444148878
377,52.24052031700203
378,52.21695190511633
379,52.19348853401429
380,52.17012953187849
381,52.14687422689154
382,52.12372194723605
383,52.1006720210946
384,52.077723776649805
385,52.05487654208424
386,52.032129645580525
387,52.00948241532127
388,51.98693417948904
389,51.96448426626645
390,51.94213200383612
391,51.91987672038062
392,51.89771774408256
393,51.875654403124535
394,51.85368602568916
395,51.83181193995902
396,51.8100314741167
397,51.78834395634483
398,51.76674871482599
399,51.74524507774278
400,51.7238323732778
401,51.70250992961367
402,51.68127707493295
